time,gFx,gFy,gFz
2026-07-15 17:1:51.1570,-0.162,-0.985,0.216,1.021
2026-07-15 17:1:51.1670,-0.174,-1.004,0.223,1.043
2026-07-15 17:1:51.2010,-0.209,-1.053,0.235,1.099
2026-07-15 17:1:51.2020,-0.209,-1.053,0.235,1.099
2026-07-15 17:1:51.2020,-0.209,-1.053,0.235,1.099
2026-07-15 17:1:51.2060,-0.206,-1.053,0.237,1.099
2026-07-15 17:1:51.2180,-0.194,-1.046,0.231,1.089
2026-07-15 17:1:51.2260,-0.171,-1.034,0.221,1.071
2026-07-15 17:1:51.2370,-0.149,-1.022,0.205,1.053
2026-07-15 17:1:51.2470,-0.126,-1.007,0.183,1.031
2026-07-15 17:1:51.2570,-0.109,-0.995,0.159,1.014
2026-07-15 17:1:51.2670,-0.098,-0.984,0.135,0.998
2026-07-15 17:1:51.3000,-0.107,-0.999,0.107,1.01
2026-07-15 17:1:51.3000,-0.107,-0.999,0.107,1.01
2026-07-15 17:1:51.3010,-0.107,-0.999,0.107,1.01
2026-07-15 17:1:51.3070,-0.12,-1.01,0.106,1.023
2026-07-15 17:1:51.3180,-0.127,-1.017,0.111,1.031
2026-07-15 17:1:51.3270,-0.135,-1.013,0.121,1.029
2026-07-15 17:1:51.3370,-0.138,-1.001,0.133,1.019
2026-07-15 17:1:51.3470,-0.13,-0.984,0.141,1.003
2026-07-15 17:1:51.3570,-0.118,-0.965,0.146,0.983
2026-07-15 17:1:51.3680,-0.103,-0.946,0.152,0.964
2026-07-15 17:1:51.4030,-0.086,-0.919,0.162,0.937
2026-07-15 17:1:51.4030,-0.086,-0.919,0.162,0.937
2026-07-15 17:1:51.4030,-0.086,-0.919,0.162,0.937
2026-07-15 17:1:51.4070,-0.096,-0.938,0.175,0.959
2026-07-15 17:1:51.4190,-0.103,-0.97,0.192,0.994
2026-07-15 17:1:51.4270,-0.106,-1.003,0.209,1.03
2026-07-15 17:1:51.4370,-0.104,-1.033,0.224,1.062
2026-07-15 17:1:51.4470,-0.1,-1.057,0.245,1.09
2026-07-15 17:1:51.4570,-0.096,-1.074,0.261,1.109
2026-07-15 17:1:51.4680,-0.099,-1.09,0.276,1.129
2026-07-15 17:1:51.5040,-0.137,-1.096,0.298,1.144
2026-07-15 17:1:51.5040,-0.137,-1.096,0.298,1.144
2026-07-15 17:1:51.5040,-0.137,-1.096,0.298,1.144
2026-07-15 17:1:51.5070,-0.147,-1.081,0.294,1.13
2026-07-15 17:1:51.5180,-0.152,-1.053,0.284,1.101
2026-07-15 17:1:51.5270,-0.149,-1.02,0.263,1.064
2026-07-15 17:1:51.5370,-0.146,-0.989,0.234,1.027
2026-07-15 17:1:51.5470,-0.139,-0.966,0.205,0.997
2026-07-15 17:1:51.5570,-0.127,-0.948,0.178,0.973
2026-07-15 17:1:51.5680,-0.112,-0.937,0.155,0.956
2026-07-15 17:1:51.6040,-0.087,-0.929,0.141,0.944
2026-07-15 17:1:51.6040,-0.087,-0.929,0.141,0.944
2026-07-15 17:1:51.6040,-0.087,-0.929,0.141,0.944
2026-07-15 17:1:51.6070,-0.085,-0.926,0.148,0.942
2026-07-15 17:1:51.6190,-0.089,-0.923,0.157,0.94
2026-07-15 17:1:51.6270,-0.09,-0.923,0.166,0.942
2026-07-15 17:1:51.6370,-0.095,-0.925,0.177,0.947
2026-07-15 17:1:51.6470,-0.105,-0.93,0.183,0.954
2026-07-15 17:1:51.6580,-0.12,-0.938,0.187,0.964
2026-07-15 17:1:51.6680,-0.132,-0.95,0.192,0.978
2026-07-15 17:1:51.7030,-0.164,-0.999,0.193,1.031
2026-07-15 17:1:51.7030,-0.164,-0.999,0.193,1.031
2026-07-15 17:1:51.7030,-0.164,-0.999,0.193,1.031
2026-07-15 17:1:51.7070,-0.165,-1.017,0.188,1.047
2026-07-15 17:1:51.7190,-0.158,-1.031,0.18,1.058
2026-07-15 17:1:51.7270,-0.149,-1.041,0.173,1.066
2026-07-15 17:1:51.7370,-0.138,-1.044,0.165,1.066
2026-07-15 17:1:51.7480,-0.13,-1.04,0.155,1.059
2026-07-15 17:1:51.7580,-0.123,-1.034,0.143,1.051
2026-07-15 17:1:51.7680,-0.12,-1.025,0.134,1.041
2026-07-15 17:1:51.8040,-0.128,-0.995,0.109,1.009
2026-07-15 17:1:51.8040,-0.128,-0.995,0.109,1.009
2026-07-15 17:1:51.8040,-0.128,-0.995,0.109,1.009
2026-07-15 17:1:51.8070,-0.13,-0.975,0.108,0.99
2026-07-15 17:1:51.8190,-0.125,-0.954,0.104,0.968
2026-07-15 17:1:51.8270,-0.115,-0.931,0.107,0.944
2026-07-15 17:1:51.8380,-0.101,-0.907,0.108,0.919
2026-07-15 17:1:51.8480,-0.092,-0.903,0.111,0.914
2026-07-15 17:1:51.8580,-0.091,-0.906,0.12,0.918
2026-07-15 17:1:51.8680,-0.093,-0.905,0.124,0.918
2026-07-15 17:1:51.9040,-0.115,-0.912,0.108,0.926
2026-07-15 17:1:51.9040,-0.115,-0.912,0.108,0.926
2026-07-15 17:1:51.9040,-0.115,-0.912,0.108,0.926
2026-07-15 17:1:51.9080,-0.118,-0.915,0.111,0.929
2026-07-15 17:1:51.9190,-0.13,-0.93,0.12,0.947
2026-07-15 17:1:51.9280,-0.145,-0.948,0.131,0.968
2026-07-15 17:1:51.9380,-0.158,-0.969,0.142,0.992
2026-07-15 17:1:51.9480,-0.165,-1.0,0.157,1.026
2026-07-15 17:1:51.9580,-0.172,-1.034,0.171,1.062
2026-07-15 17:1:51.9680,-0.175,-1.06,0.178,1.089
2026-07-15 17:1:52.0040,-0.184,-1.053,0.164,1.081
2026-07-15 17:1:52.0040,-0.184,-1.053,0.164,1.081
2026-07-15 17:1:52.0040,-0.184,-1.053,0.164,1.081
2026-07-15 17:1:52.0080,-0.179,-1.032,0.155,1.059
